Price,,,,
Model,In sample,Out of sample,Cross-validation,Kaggle Score
OLS,696085.293283638,683704.5704385005,684036.185439215,54.35
RidgeCV,696082.9353625211,683721.660833806,683641.2001299006,54.35
ElasticNetCV,700865.6497374501,688489.4932385377,683925.0272000902,53.61
LassoCV,711908.2547728816,700014.4997904084,686212.8244996433,54.16
,,,,
Rent,,,,
Model,MAE_train,MAE_val,Cross-validation,
OLS,169001.83168054116,170821.81638419896,169112.5427930254,
RidgeCV,169001.81771512455,170831.67736758367,169089.3154768123,
ElasticNetCV,169086.88653971613,170918.89387257965,169224.6718301487,
LassoCV,169664.08392884614,171667.04430070837,169742.5589243508,
