total_rent_price,area
2650.0,20.0
7400.0,53.0
6300.0,60.0
2550.0,20.0
7200.0,65.0
7300.0,50.0
6000.0,40.0
2600.0,10.0
3200.0,15.0
6400.0,56.0
5200.0,36.0
5100.0,50.0
6500.0,53.0
6800.0,56.0
10000.0,81.0
5200.0,36.0
7300.0,50.0
22000.0,122.0
2800.0,20.0
6800.0,47.0
3200.0,15.0
2600.0,10.0
5200.0,36.0
7300.0,50.0
6400.0,56.0
7100.0,53.0
6500.0,53.0
10000.0,81.0
11000.0,90.0
8800.0,82.0
5000.0,50.0
10000.0,81.0
6600.0,38.0
6500.0,50.0
2600.0,10.0
6500.0,50.0
6000.0,40.0
7300.0,59.0
3800.0,20.0
3200.0,20.0
1700.0,10.0
7000.0,53.0
7200.0,65.0
7100.0,53.0
2000.0,13.0
7100.0,53.0
6000.0,40.0
6300.0,60.0
6800.0,47.0
6000.0,40.0
7200.0,54.0
6800.0,56.0
6800.0,57.0
3200.0,15.0
7400.0,53.0
6800.0,57.0
6600.0,38.0
3600.0,17.0
6550.0,53.0
7500.0,70.0
7300.0,59.0
8800.0,82.0
3600.0,17.0
6500.0,50.0
11000.0,90.0
7400.0,53.0
6500.0,53.0
7600.0,53.0
6550.0,53.0
14500.0,136.0
3200.0,15.0
10000.0,81.0
6800.0,55.0
6700.0,55.0
19000.0,136.0
11000.0,74.0
6300.0,55.0
11500.0,95.0
9500.0,81.0
6400.0,55.0
2950.0,18.0
16600.0,78.0
7000.0,70.0
7730.0,45.0
6600.0,55.0
9600.0,82.0
6300.0,55.0
11830.0,67.0
6500.0,32.0
6600.0,38.0
12900.0,105.0
16800.0,127.0
12500.0,130.0
7590.0,47.0
10200.0,65.0
5800.0,38.0
6500.0,55.0
7300.0,54.0
7800.0,50.0
45000.0,367.0
6600.0,55.0
14330.0,75.0
7400.0,49.0
7000.0,64.0
13500.0,52.0
9600.0,97.0
7000.0,60.0
7200.0,56.0
25000.0,181.0
9900.0,82.0
10500.0,81.0
9900.0,68.0
7200.0,50.0
6800.0,50.0
9500.0,53.0
7000.0,53.0
9000.0,53.0
23000.0,188.0
22000.0,207.0
15000.0,134.0
6500.0,55.0
11000.0,74.0
6800.0,55.0
16600.0,78.0
7000.0,50.0
5800.0,38.0
9600.0,82.0
22000.0,122.0
9600.0,56.0
9500.0,94.0
19000.0,136.0
6300.0,55.0
5500.0,41.0
7300.0,63.0
14889.0,106.0
6800.0,55.0
11500.0,95.0
6800.0,47.0
6500.0,32.0
6900.0,50.0
14400.0,82.0
11000.0,56.0
25000.0,181.0
8690.0,78.0
6500.0,55.0
9000.0,53.0
12500.0,130.0
7000.0,64.0
6500.0,55.0
6400.0,55.0
7800.0,72.0
7200.0,56.0
6700.0,55.0
7600.0,61.0
9600.0,97.0
23000.0,189.0
9500.0,53.0
8350.0,74.0
9900.0,68.0
22000.0,207.0
22000.0,207.0
22000.0,125.0
9900.0,67.0
5200.0,27.0
18000.0,148.0
5800.0,55.0
6600.0,38.0
7300.0,54.0
7000.0,57.0
9500.0,90.0
5000.0,38.0
4000.0,20.0
7730.0,45.0
12000.0,82.0
6600.0,55.0
3500.0,12.0
6300.0,40.0
8000.0,53.0
24000.0,205.0
8659.0,57.0
7200.0,64.0
12000.0,110.0
7500.0,63.0
7400.0,49.0
7200.0,50.0
7000.0,60.0
9500.0,74.0
5400.0,26.0
22000.0,184.0
10000.0,61.0
6800.0,56.0
7800.0,50.0
2950.0,18.0
18000.0,127.0
12900.0,105.0
7200.0,50.0
11000.0,86.0
17000.0,148.0
7700.0,62.0
7500.0,50.0
7000.0,64.0
17000.0,150.0
18000.0,149.0
5300.0,38.0
8600.0,51.0
6100.0,66.0
5300.0,26.0
7150.0,54.0
10000.0,113.0
6800.0,55.0
7500.0,64.0
20390.0,124.0
10200.0,65.0
16500.0,129.0
11830.0,67.0
11000.0,78.0
7000.0,60.0
7500.0,70.0
7200.0,54.0
7600.0,57.0
6990.0,45.0
6500.0,48.0
23000.0,188.0
12500.0,75.0
9200.0,78.0
9500.0,53.0
7800.0,70.0
13000.0,97.0
13000.0,111.0
6900.0,57.0
6500.0,55.0
13500.0,126.0
9700.0,83.0
25000.0,180.0
5200.0,27.0
13000.0,126.0
8490.0,62.0
7700.0,59.0
12900.0,105.0
6500.0,41.0
6700.0,57.0
6790.0,38.0
12500.0,90.0
5900.0,55.0
7990.0,50.0
7900.0,63.0
5700.0,38.0
45000.0,367.0
7800.0,57.0
